task_id,ngo_name,required_skill,urgency,timestamp,hour_of_day,lat,lon
TASK_000,Osborne Inc,Accounting,2,2026-03-30 15:24:48,15,28.586685,77.179115
TASK_001,Melendez-Robinson,Accounting,2,2026-04-11 11:34:00,11,28.683035,77.200879
TASK_002,"Hansen, Barnett and Martinez",Gardening,1,2026-03-30 13:27:26,13,28.669181,77.13768
TASK_003,Mccoy PLC,Data Entry,2,2026-04-03 10:14:47,10,28.525228,77.187299
TASK_004,Davis LLC,Heavy Lifting,4,2026-04-12 11:29:11,11,28.532948,77.23051
TASK_005,Graves LLC,Search & Rescue,4,2026-03-30 18:06:45,18,28.578939,77.145277
TASK_006,Guerra-Wolfe,Translation,3,2026-04-12 14:59:10,14,28.667872,77.20568
TASK_007,Saunders Ltd,EMT,5,2026-03-30 12:45:57,12,28.609278,77.22395
TASK_008,Simmons LLC,Search & Rescue,4,2026-04-08 15:55:22,15,28.571823,77.11995
TASK_009,Mercado Inc,Mentoring,3,2026-04-04 15:14:15,15,28.679175,77.276453
TASK_010,"Graham, Hamilton and Bradley",Cleaning,1,2026-03-28 14:27:34,14,28.665639,77.28747
TASK_011,Kaiser-Watson,Gardening,1,2026-04-22 15:12:40,15,28.656765,77.132143
TASK_012,Jones Ltd,Event Setup,1,2026-04-13 16:50:00,16,28.547207,77.294594
TASK_013,"Obrien, Gill and Miller",Child Care,3,2026-04-21 13:10:10,13,28.653786,77.224715
TASK_014,"Marks, Jackson and Price",First Aid,5,2026-03-27 15:26:40,15,28.695447,77.24417
TASK_015,Dorsey-Hill,Mentoring,3,2026-04-08 15:46:49,15,28.64974,77.177279
TASK_016,Taylor-Nelson,Data Entry,2,2026-04-15 09:36:59,9,28.545192,77.194252
TASK_017,Mccann-Taylor,IT Support,2,2026-03-27 17:46:12,17,28.594505,77.223037
TASK_018,Garcia-Arnold,First Aid,5,2026-04-15 14:13:19,14,28.672852,77.197513
TASK_019,Wells PLC,Data Entry,2,2026-04-06 14:15:27,14,28.601193,77.215986
TASK_020,Figueroa-Fields,Data Entry,2,2026-04-16 13:49:52,13,28.539151,77.287848
TASK_021,Bonilla-Lopez,Trauma Care,5,2026-04-05 14:04:13,14,28.551354,77.189843
TASK_022,Gonzalez LLC,EMT,5,2026-04-15 22:05:11,22,28.636581,77.217776
TASK_023,"Pruitt, Brown and Dean",Event Setup,1,2026-04-01 11:36:49,11,28.594182,77.217188
TASK_024,Joyce LLC,Child Care,3,2026-04-06 17:50:58,17,28.682492,77.14643
TASK_025,Carter-Ellison,Data Entry,2,2026-04-16 17:11:00,17,28.559883,77.256151
